Cluster # | Energy | #points | Radius ofN,e,v,rg,epv,buriedness,v*buriedness^2/rg
1,-54.709000,142.000000,3.299181,-0.385275,0.820588,28.982294
2,-43.956000,127.000000,3.312350,-0.346110,0.775578,23.063112
