Cluster # | Energy | #points | Radius ofN,e,v,rg,epv,buriedness,v*buriedness^2/rg
1,-45.657000,119.000000,3.271877,-0.383672,0.803448,23.478259
2,-42.338000,125.000000,4.098577,-0.338704,0.775076,18.321686
