Cluster # | Energy | #points | Radius ofN,e,v,rg,epv,buriedness,v*buriedness^2/rg
1,-49.488000,129.000000,3.665003,-0.383628,0.819876,23.659824
2,-43.593000,93.000000,2.953644,-0.468742,0.865613,23.592392
