Nonnative index,Native index,Nonnative score,Native score
1,2,-107.86,-122.26
2,25,-105.54,-103.77
3,1,-102.68,-127.03
4,16,-100.73,-106.39
5,5,-98.57,-116.77
6,8,-97.98,-111.5
7,9,-97.86,-111.29
8,4,-97.1,-117.89
9,13,-96.81,-107.38
10,7,-96.8,-112.25
11,3,-95.91,-119.47
12,82,-95.7,-96.81
13,28,-95.07,-103.04
14,118,-95.0,-93.65
15,29,-93.68,-102.76
16,128,-93.4,-92.74
17,362,-93.29,-84.59
18,22,-92.44,-104.41
19,50,-92.3,-100.32
20,18,-92.08,-105.23
21,60,-91.98,-98.88
22,66,-91.93,-98.47
23,110,-91.88,-94.14
24,42,-91.65,-100.97
25,69,-91.66,-98.41
26,20,-91.54,-104.77
27,190,-91.47,-89.92
28,27,-91.38,-103.3
29,67,-90.97,-98.45
30,57,-90.93,-99.05
31,72,-90.91,-98.21
32,41,-90.71,-101.35
33,17,-90.64,-105.93
34,24,-90.4,-103.9
35,45,-90.11,-100.7
36,91,-89.99,-95.79
37,74,-89.68,-98.09
38,15,-89.54,-106.43
39,153,-89.51,-91.35
40,125,-89.51,-93.04
41,31,-89.43,-102.53
42,121,-89.36,-93.37
43,47,-89.23,-100.64
44,23,-89.22,-103.93
45,32,-89.18,-102.55
46,54,-89.12,-99.36
47,38,-88.89,-101.61
48,148,-88.77,-91.54
49,6,-88.73,-112.82
50,126,-88.42,-92.85
51,208,-88.11,-89.09
52,252,-87.98,-87.8
53,99,-87.94,-95.24
54,109,-87.7,-94.31
55,84,-87.59,-96.55
56,19,-87.61,-105.0
57,85,-87.46,-96.52
58,39,-87.01,-101.55
59,21,-86.9,-104.75
60,51,-86.81,-99.79
61,48,-86.46,-100.49
62,11,-86.34,-110.56
63,12,-86.06,-107.45
64,115,-85.93,-93.89
65,62,-85.83,-98.83
66,56,-85.8,-99.31
67,75,-85.72,-98.01
68,35,-85.55,-102.4
69,33,-85.5,-102.49
70,78,-85.48,-97.53
71,64,-85.41,-98.64
72,55,-85.2,-99.32
73,371,-85.12,-84.33
74,80,-85.09,-97.49
75,234,-84.6,-88.39
76,30,-84.47,-102.7
77,146,-84.39,-91.59
78,191,-84.3,-89.86
79,81,-84.14,-96.85
80,255,-83.88,-87.68
81,108,-83.76,-94.36
82,147,-83.69,-91.55
83,335,-83.61,-85.36
84,221,-83.55,-88.81
85,244,-83.46,-88.15
86,123,-83.45,-93.1
87,44,-83.45,-100.75
88,317,-83.41,-85.89
89,90,-83.23,-95.94
90,71,-83.13,-98.24
91,142,-83.03,-91.72
92,10,-83.05,-111.11
93,98,-83.03,-95.27
94,111,-82.83,-94.15
95,61,-82.82,-98.85
96,70,-82.72,-98.35
97,105,-82.69,-94.38
98,26,-82.66,-103.42
99,92,-82.52,-95.63
100,86,-82.5,-96.38
101,77,-82.4,-97.66
102,268,-82.39,-87.13
103,76,-82.2,-97.91
104,1109,-82.18,-71.56
105,46,-82.15,-100.64
106,102,-82.04,-94.95
107,37,-82.02,-102.37
108,324,-81.94,-85.76
109,136,-81.82,-91.99
110,138,-81.8,-91.83
111,132,-81.74,-92.31
112,140,-81.56,-91.75
113,236,-81.47,-88.25
114,806,-81.48,-76.51
115,107,-81.39,-94.35
116,154,-81.4,-91.34
117,43,-81.38,-100.85
118,198,-81.32,-89.6
119,316,-81.2,-85.95
120,119,-81.18,-93.59
121,34,-81.18,-102.49
122,96,-81.16,-95.37
123,285,-81.16,-86.73
124,325,-81.08,-85.75
125,193,-81.02,-89.72
126,167,-81.03,-90.82
127,416,-81.02,-83.59
128,341,-80.96,-85.23
129,279,-80.83,-86.88
130,14,-80.79,-106.58
131,218,-80.7,-88.83
132,83,-80.61,-96.69
133,113,-80.4,-94.05
134,116,-80.28,-93.73
135,49,-80.21,-100.44
136,112,-80.13,-94.08
137,65,-80.09,-98.62
138,346,-80.06,-85.1
139,40,-80.05,-101.51
140,183,-79.94,-90.1
141,182,-79.94,-90.15
142,145,-79.93,-91.63
143,246,-79.89,-88.13
144,226,-79.89,-88.61
145,171,-79.84,-90.64
146,176,-79.71,-90.38
147,175,-79.66,-90.42
148,277,-79.59,-86.89
149,211,-79.47,-89.04
150,120,-79.45,-93.39
151,151,-79.25,-91.4
152,162,-79.23,-91.08
153,206,-79.13,-89.18
154,287,-79.15,-86.74
155,306,-79.1,-86.22
