Nonnative index,Native index,Nonnative score,Native score
156,134,-79.05,-92.01
157,174,-78.99,-90.46
158,36,-78.93,-102.37
159,217,-78.94,-88.84
160,117,-78.91,-93.69
161,207,-78.87,-89.15
162,370,-78.84,-84.36
163,422,-78.75,-83.44
164,466,-78.72,-82.78
165,141,-78.73,-91.7
166,63,-78.71,-98.64
167,846,-78.59,-75.83
168,219,-78.57,-88.81
169,189,-78.56,-89.94
170,201,-78.56,-89.51
171,326,-78.55,-85.71
172,386,-78.48,-84.12
173,284,-78.45,-86.74
174,648,-78.46,-79.25
175,58,-78.38,-99.07
176,173,-78.35,-90.44
177,156,-78.37,-91.26
178,793,-78.34,-76.61
179,203,-78.34,-89.34
180,150,-78.32,-91.45
181,320,-78.24,-85.83
182,747,-78.2,-77.41
183,257,-78.13,-87.63
184,443,-78.04,-83.09
185,73,-78.04,-98.2
186,282,-77.87,-86.83
187,184,-77.83,-90.06
188,53,-77.78,-99.49
189,391,-77.8,-84.06
190,144,-77.74,-91.62
191,278,-77.68,-86.88
192,338,-77.61,-85.29
193,232,-77.58,-88.49
194,281,-77.52,-86.83
195,318,-77.51,-85.87
196,137,-77.52,-91.99
197,131,-77.48,-92.46
198,100,-77.5,-95.03
199,238,-77.41,-88.24
200,186,-77.36,-90.01
201,546,-77.36,-81.16
202,404,-77.33,-83.83
203,157,-77.33,-91.26
204,59,-77.34,-98.97
205,621,-77.3,-79.86
206,124,-77.31,-93.07
207,223,-77.25,-88.76
208,202,-77.26,-89.45
209,762,-77.06,-77.19
210,334,-77.08,-85.37
211,135,-77.06,-92.01
212,204,-77.02,-89.28
213,143,-76.94,-91.72
214,457,-76.89,-82.88
215,101,-76.85,-95.04
216,133,-76.83,-92.04
217,106,-76.77,-94.36
218,88,-76.77,-96.16
219,833,-76.76,-76.08
220,180,-76.75,-90.14
221,94,-76.7,-95.52
222,160,-76.72,-91.12
223,681,-76.68,-78.58
224,129,-76.68,-92.62
225,199,-76.66,-89.57
226,103,-76.66,-94.69
227,89,-76.65,-96.08
228,195,-76.62,-89.68
229,293,-76.54,-86.48
230,406,-76.54,-83.83
231,307,-76.53,-86.23
232,260,-76.52,-87.59
233,155,-76.47,-91.25
234,368,-76.46,-84.4
235,139,-76.43,-91.76
236,455,-76.45,-82.94
237,276,-76.38,-86.92
238,200,-76.39,-89.59
239,579,-76.28,-80.59
240,267,-76.2,-87.19
241,270,-76.17,-87.04
242,315,-76.17,-85.95
243,196,-76.14,-89.65
244,721,-76.07,-77.73
245,583,-76.05,-80.49
246,899,-76.05,-75.0
247,127,-75.96,-92.85
248,437,-75.93,-83.2
249,163,-75.94,-90.96
250,104,-75.84,-94.38
251,152,-75.84,-91.4
252,93,-75.78,-95.62
253,168,-75.79,-90.75
254,588,-75.75,-80.36
255,216,-75.73,-88.94
256,486,-75.71,-82.31
257,237,-75.72,-88.25
258,192,-75.65,-89.82
259,52,-75.66,-99.58
260,462,-75.62,-82.77
261,329,-75.59,-85.58
262,637,-75.6,-79.41
263,122,-75.57,-93.17
264,512,-75.54,-81.96
265,531,-75.55,-81.5
266,149,-75.53,-91.51
267,286,-75.5,-86.73
268,761,-75.52,-77.22
269,130,-75.52,-92.56
270,248,-75.49,-88.03
271,170,-75.48,-90.66
272,926,-75.45,-74.45
273,943,-75.36,-74.14
274,555,-75.33,-81.03
275,374,-75.32,-84.33
276,194,-75.28,-89.73
277,263,-75.24,-87.46
278,369,-75.21,-84.35
279,609,-75.2,-80.04
280,273,-75.2,-86.99
281,1157,-75.19,-70.96
282,289,-75.16,-86.64
283,262,-75.16,-87.55
284,1140,-75.07,-71.17
285,426,-74.93,-83.35
286,384,-74.93,-84.14
287,1314,-74.87,-68.26
288,272,-74.88,-87.01
289,1007,-74.81,-73.16
290,446,-74.8,-83.05
291,95,-74.77,-95.4
292,274,-74.72,-86.97
293,889,-74.63,-75.13
294,536,-74.63,-81.38
295,308,-74.6,-86.15
296,275,-74.61,-86.95
297,253,-74.59,-87.72
298,413,-74.55,-83.62
299,941,-74.51,-74.18
300,251,-74.42,-87.9
301,407,-74.4,-83.78
302,295,-74.4,-86.43
303,894,-74.39,-75.11
304,463,-74.36,-82.77
305,291,-74.16,-86.61
306,297,-74.12,-86.35
307,357,-74.13,-84.71
308,360,-74.13,-84.65
309,328,-74.11,-85.58
310,815,-74.08,-76.41
311,577,-74.08,-80.61
312,209,-74.04,-89.11
313,447,-74.03,-83.04
314,79,-74.01,-97.5
315,400,-74.01,-83.98
316,520,-73.97,-81.71
317,636,-73.97,-79.45
318,165,-73.94,-90.87
319,225,-73.96,-88.69
320,586,-73.93,-80.46
321,205,-73.92,-89.21
322,497,-73.93,-82.11
323,444,-73.86,-83.08
324,256,-73.81,-87.66
325,399,-73.81,-83.96
326,428,-73.74,-83.3
327,417,-73.71,-83.55
328,383,-73.72,-84.22
329,1063,-73.67,-72.42
330,1430,-73.64,-66.78
331,264,-73.64,-87.42
332,423,-73.62,-83.37
333,735,-73.57,-77.54
334,680,-73.56,-78.57
335,87,-73.55,-96.21
336,332,-73.57,-85.4
337,699,-73.54,-78.2
338,312,-73.54,-86.03
339,468,-73.49,-82.75
340,504,-73.44,-82.01
341,179,-73.41,-90.23
342,606,-73.37,-80.12
343,161,-73.39,-91.11
344,172,-73.31,-90.56
345,623,-73.26,-79.74
346,181,-73.22,-90.15
347,188,-73.22,-89.97
348,567,-73.2,-80.7
349,259,-73.18,-87.6
350,442,-73.13,-83.17
351,240,-73.09,-88.17
352,476,-73.07,-82.54
353,851,-73.08,-75.77
354,1457,-73.09,-66.1
355,215,-73.02,-88.96
356,742,-73.01,-77.43
357,411,-72.98,-83.68
358,584,-72.97,-80.45
359,1309,-72.96,-68.4
360,97,-72.95,-95.29
361,337,-72.93,-85.31
362,469,-72.94,-82.71
363,393,-72.83,-84.01
364,409,-72.81,-83.73
365,510,-72.8,-82.0
366,991,-72.79,-73.45
367,612,-72.77,-79.97
368,544,-72.76,-81.21
369,493,-72.75,-82.21
370,1126,-72.71,-71.34
371,655,-72.7,-79.18
372,385,-72.66,-84.13
373,563,-72.67,-80.81
374,738,-72.64,-77.51
375,242,-72.62,-88.17
376,483,-72.61,-82.39
377,693,-72.61,-78.34
378,845,-72.61,-75.88
379,389,-72.59,-84.1
380,345,-72.58,-85.14
381,557,-72.5,-80.96
382,825,-72.52,-76.28
383,813,-72.49,-76.4
384,713,-72.46,-77.89
385,487,-72.42,-82.3
386,235,-72.43,-88.37
387,1079,-72.42,-72.08
388,210,-72.4,-89.07
389,410,-72.38,-83.74
390,414,-72.38,-83.62
391,169,-72.37,-90.75
392,356,-72.3,-84.73
393,875,-72.31,-75.33
394,231,-72.28,-88.54
395,380,-72.25,-84.24
396,551,-72.2,-81.1
397,652,-72.14,-79.17
398,907,-72.06,-74.86
399,553,-72.03,-81.07
400,1148,-72.01,-71.07
401,649,-72.0,-79.23
402,359,-72.01,-84.72
403,626,-71.94,-79.7
404,900,-71.91,-74.96
405,352,-71.92,-84.82
406,538,-71.84,-81.36
407,68,-71.86,-98.43
408,249,-71.84,-88.03
409,514,-71.82,-81.92
410,412,-71.82,-83.62
411,535,-71.8,-81.38
412,573,-71.79,-80.65
413,492,-71.8,-82.21
414,222,-71.79,-88.81
415,178,-71.75,-90.34
416,593,-71.72,-80.3
417,431,-71.72,-83.28
418,591,-71.74,-80.34
419,258,-71.71,-87.62
420,330,-71.68,-85.56
421,445,-71.63,-83.03
422,375,-71.65,-84.31
423,459,-71.61,-82.85
424,373,-71.62,-84.34
425,919,-71.61,-74.59
426,978,-71.61,-73.58
427,166,-71.58,-90.88
428,435,-71.55,-83.21
429,430,-71.52,-83.28
430,250,-71.51,-87.93
431,354,-71.5,-84.76
432,301,-71.48,-86.25
433,1047,-71.46,-72.62
434,558,-71.47,-80.96
435,708,-71.47,-78.03
436,611,-71.38,-79.98
437,1215,-71.3,-69.91
438,865,-71.29,-75.52
439,1450,-71.27,-66.27
440,518,-71.28,-81.8
441,729,-71.26,-77.65
442,472,-71.25,-82.62
443,314,-71.23,-85.97
444,299,-71.22,-86.32
445,603,-71.2,-80.2
446,659,-71.19,-79.09
447,635,-71.18,-79.45
448,471,-71.15,-82.61
449,1240,-71.17,-69.4
450,581,-71.14,-80.51
451,524,-71.1,-81.63
452,1049,-71.1,-72.63
453,382,-71.11,-84.24
454,239,-71.08,-88.21
455,271,-71.08,-87.02
456,280,-71.05,-86.83
457,405,-71.03,-83.82
458,1260,-71.03,-69.05
459,862,-71.03,-75.55
460,333,-71.02,-85.39
461,283,-71.01,-86.76
462,970,-70.98,-73.72
463,319,-70.94,-85.82
464,816,-70.95,-76.4
465,890,-70.93,-75.11
466,528,-70.89,-81.58
467,227,-70.9,-88.61
468,807,-70.82,-76.48
469,313,-70.81,-85.99
470,269,-70.76,-87.07
471,521,-70.77,-81.72
472,519,-70.74,-81.8
473,624,-70.7,-79.74
474,842,-70.72,-75.94
475,344,-70.69,-85.15
476,750,-70.68,-77.3
477,630,-70.67,-79.55
478,526,-70.67,-81.63
479,241,-70.66,-88.18
480,565,-70.66,-80.72
481,381,-70.66,-84.25
482,737,-70.66,-77.51
483,438,-70.6,-83.2
484,464,-70.6,-82.76
485,779,-70.58,-76.94
486,629,-70.52,-79.55
487,392,-70.52,-84.03
488,1029,-70.49,-72.87
489,873,-70.47,-75.38
490,453,-70.44,-83.0
491,947,-70.39,-74.03
492,1105,-70.39,-71.65
493,575,-70.39,-80.63
494,948,-70.34,-74.03
495,572,-70.31,-80.68
496,390,-70.33,-84.06
497,580,-70.3,-80.57
498,724,-70.28,-77.71
499,296,-70.26,-86.41
500,228,-70.25,-88.6
501,114,-70.25,-93.92
502,568,-70.24,-80.71
503,770,-70.23,-77.05
504,501,-70.2,-82.05
505,376,-70.19,-84.31
506,590,-70.19,-80.37
507,634,-70.21,-79.48
508,498,-70.19,-82.08
509,686,-70.14,-78.51
510,305,-70.13,-86.22
511,415,-70.12,-83.59
512,1295,-70.11,-68.64
513,596,-70.09,-80.26
514,343,-70.09,-85.22
515,898,-70.07,-75.04
516,892,-69.98,-75.11
517,424,-70.0,-83.37
518,397,-69.99,-83.96
519,550,-70.0,-81.1
520,372,-69.97,-84.33
521,749,-69.95,-77.36
522,916,-69.93,-74.6
523,701,-69.92,-78.19
524,764,-69.91,-77.13
525,266,-69.91,-87.33
526,197,-69.87,-89.65
527,339,-69.86,-85.26
528,224,-69.87,-88.73
529,364,-69.83,-84.48
530,534,-69.85,-81.44
531,601,-69.8,-80.22
532,687,-69.8,-78.52
533,1206,-69.81,-70.06
534,803,-69.76,-76.5
535,910,-69.73,-74.8
536,642,-69.71,-79.36
537,355,-69.71,-84.74
538,1378,-69.72,-67.54
539,388,-69.68,-84.1
540,523,-69.7,-81.66
541,954,-69.65,-73.98
542,394,-69.67,-84.0
543,309,-69.67,-86.16
544,358,-69.67,-84.71
545,736,-69.62,-77.55
546,937,-69.61,-74.33
547,755,-69.59,-77.26
548,663,-69.61,-79.02
549,827,-69.58,-76.24
550,598,-69.56,-80.26
551,993,-69.55,-73.37
552,997,-69.5,-73.32
553,600,-69.52,-80.23
554,366,-69.52,-84.42
555,212,-69.47,-89.02
556,760,-69.49,-77.23
557,517,-69.45,-81.84
558,644,-69.44,-79.3
559,556,-69.41,-80.98
560,1195,-69.42,-70.28
561,757,-69.42,-77.22
562,753,-69.43,-77.25
563,671,-69.42,-78.86
564,164,-69.38,-90.9
565,233,-69.4,-88.43
566,402,-69.33,-83.84
567,718,-69.32,-77.79
568,791,-69.34,-76.65
569,969,-69.32,-73.71
570,496,-69.3,-82.13
571,421,-69.31,-83.42
572,733,-69.27,-77.56
573,902,-69.27,-74.94
574,783,-69.26,-76.76
575,619,-69.21,-79.88
576,467,-69.17,-82.74
577,327,-69.19,-85.66
578,265,-69.18,-87.4
579,837,-69.18,-76.06
580,876,-69.14,-75.33
581,294,-69.13,-86.42
582,1106,-69.12,-71.65
583,254,-69.1,-87.73
584,594,-69.1,-80.29
585,607,-69.07,-80.05
586,682,-69.05,-78.56
587,348,-69.02,-84.94
588,774,-69.0,-76.97
589,670,-68.99,-78.88
590,627,-69.01,-79.7
591,661,-68.98,-79.06
592,794,-68.95,-76.62
593,664,-68.94,-78.99
594,650,-68.93,-79.2
595,731,-68.92,-77.62
596,1004,-68.91,-73.22
597,288,-68.88,-86.74
598,893,-68.88,-75.11
599,322,-68.85,-85.76
600,243,-68.85,-88.17
601,533,-68.82,-81.44
602,230,-68.82,-88.56
603,1593,-68.83,-63.86
604,790,-68.78,-76.68
605,365,-68.79,-84.43
606,387,-68.78,-84.09
607,1154,-68.8,-70.97
608,656,-68.78,-79.14
609,835,-68.77,-76.06
610,620,-68.74,-79.9
611,503,-68.74,-82.05
612,543,-68.73,-81.2
613,569,-68.69,-80.7
614,1346,-68.7,-67.86
615,810,-68.71,-76.48
616,714,-68.68,-77.87
617,605,-68.63,-80.17
618,419,-68.6,-83.48
619,616,-68.61,-79.93
620,303,-68.6,-86.24
621,525,-68.58,-81.62
622,1061,-68.57,-72.48
623,796,-68.58,-76.58
624,505,-68.55,-82.03
625,667,-68.54,-78.9
626,1310,-68.52,-68.37
627,848,-68.53,-75.84
628,479,-68.52,-82.44
629,643,-68.48,-79.32
630,728,-68.5,-77.63
631,323,-68.46,-85.76
632,229,-68.47,-88.57
633,658,-68.47,-79.07
634,962,-68.44,-73.82
635,704,-68.41,-78.13
636,647,-68.4,-79.26
637,1250,-68.39,-69.25
638,245,-68.4,-88.13
639,909,-68.37,-74.78
640,847,-68.37,-75.83
641,495,-68.37,-82.14
642,425,-68.38,-83.38
643,1006,-68.33,-73.2
644,432,-68.3,-83.25
645,872,-68.3,-75.39
646,361,-68.28,-84.62
647,379,-68.28,-84.26
648,696,-68.26,-78.29
649,904,-68.24,-74.95
650,843,-68.22,-75.9
651,292,-68.22,-86.57
652,700,-68.19,-78.21
653,675,-68.15,-78.74
654,1014,-68.17,-73.07
655,734,-68.17,-77.56
656,475,-68.1,-82.57
657,582,-68.1,-80.52
658,491,-68.08,-82.22
659,478,-68.06,-82.5
660,711,-68.07,-77.93
661,903,-68.04,-74.93
662,440,-68.02,-83.15
663,817,-68.0,-76.41
664,697,-68.01,-78.26
665,1023,-67.97,-72.97
666,378,-67.94,-84.28
667,707,-67.94,-78.03
668,638,-67.94,-79.41
669,1266,-67.96,-68.97
670,1451,-67.95,-66.24
671,185,-67.95,-90.04
672,922,-67.91,-74.51
673,1050,-67.91,-72.61
674,631,-67.88,-79.51
675,1172,-67.9,-70.64
676,758,-67.84,-77.23
677,1355,-67.82,-67.79
678,561,-67.84,-80.88
679,310,-67.82,-86.13
680,1701,-67.79,-61.77
681,539,-67.79,-81.37
682,396,-67.81,-84.0
683,869,-67.78,-75.45
684,1360,-67.76,-67.78
685,940,-67.73,-74.2
686,511,-67.73,-81.97
687,819,-67.74,-76.38
688,820,-67.75,-76.32
689,618,-67.72,-79.88
690,800,-67.7,-76.57
691,1230,-67.69,-69.61
692,1059,-67.65,-72.47
693,547,-67.66,-81.12
694,741,-67.63,-77.44
695,828,-67.61,-76.23
696,971,-67.62,-73.7
697,1376,-67.56,-67.57
698,473,-67.57,-82.58
699,920,-67.55,-74.59
700,562,-67.55,-80.82
701,961,-67.54,-73.83
702,690,-67.54,-78.42
703,576,-67.54,-80.65
704,665,-67.43,-78.99
705,726,-67.42,-77.68
706,992,-67.37,-73.41
707,522,-67.38,-81.68
708,805,-67.36,-76.49
709,458,-67.34,-82.86
710,811,-67.35,-76.44
711,321,-67.35,-85.82
712,1056,-67.27,-72.52
713,187,-67.25,-89.97
714,1179,-67.27,-70.53
715,529,-67.24,-81.58
716,740,-67.23,-77.45
717,942,-67.2,-74.16
718,730,-67.19,-77.61
719,959,-67.19,-73.87
720,261,-67.2,-87.58
721,688,-67.18,-78.5
722,220,-67.14,-88.81
723,615,-67.15,-79.96
724,1233,-67.07,-69.56
725,516,-67.09,-81.89
726,1042,-67.07,-72.66
727,585,-67.09,-80.46
728,964,-67.07,-73.82
729,214,-67.05,-88.98
730,429,-67.05,-83.3
731,822,-67.06,-76.33
732,838,-67.02,-75.96
733,951,-67.03,-74.0
734,1127,-67.0,-71.31
735,1317,-67.0,-68.22
736,509,-66.99,-81.99
737,1125,-66.98,-71.34
738,1406,-66.96,-67.18
739,1081,-66.97,-72.08
740,867,-66.93,-75.48
741,1234,-66.89,-69.53
742,633,-66.9,-79.49
743,247,-66.88,-88.11
744,891,-66.87,-75.11
745,158,-66.87,-91.13
746,1185,-66.86,-70.45
747,349,-66.85,-84.9
748,433,-66.8,-83.24
749,874,-66.81,-75.36
750,549,-66.82,-81.08
751,918,-66.77,-74.57
752,973,-66.79,-73.67
753,886,-66.76,-75.19
754,1147,-66.76,-71.1
755,931,-66.71,-74.43
756,694,-66.71,-78.29
757,408,-66.72,-83.77
758,597,-66.71,-80.26
759,767,-66.68,-77.1
760,1181,-66.67,-70.51
761,723,-66.66,-77.69
762,864,-66.66,-75.5
763,1144,-66.64,-71.1
764,499,-66.62,-82.07
765,290,-66.62,-86.63
766,420,-66.62,-83.49
767,839,-66.62,-75.96
768,887,-66.61,-75.18
769,540,-66.61,-81.34
770,1107,-66.54,-71.58
771,683,-66.55,-78.54
772,470,-66.52,-82.67
773,1139,-66.52,-71.16
774,814,-66.48,-76.4
775,1200,-66.49,-70.16
776,732,-66.49,-77.62
777,996,-66.46,-73.33
778,1114,-66.45,-71.53
779,489,-66.42,-82.27
780,434,-66.38,-83.24
781,1073,-66.38,-72.22
782,1318,-66.36,-68.21
783,706,-66.37,-78.12
784,456,-66.37,-82.93
785,537,-66.34,-81.4
786,976,-66.24,-73.62
787,574,-66.23,-80.63
788,679,-66.21,-78.6
789,739,-66.2,-77.47
790,844,-66.2,-75.88
791,545,-66.21,-81.19
792,602,-66.21,-80.23
793,460,-66.18,-82.82
794,632,-66.17,-79.49
795,692,-66.16,-78.35
796,490,-66.14,-82.27
797,530,-66.16,-81.57
798,1003,-66.11,-73.24
799,1377,-66.13,-67.53
800,705,-66.08,-78.13
801,1040,-66.08,-72.65
802,1587,-66.09,-63.91
803,1520,-66.05,-65.14
804,1704,-66.06,-61.64
805,1554,-66.03,-64.58
806,651,-66.0,-79.2
807,756,-65.96,-77.21
808,984,-65.96,-73.52
809,1132,-65.97,-71.26
810,712,-65.94,-77.9
811,159,-65.95,-91.14
812,981,-65.91,-73.56
813,300,-65.92,-86.28
814,177,-65.92,-90.4
815,1232,-65.89,-69.56
816,871,-65.89,-75.41
817,578,-65.84,-80.58
818,995,-65.85,-73.34
819,353,-65.83,-84.78
820,765,-65.82,-77.13
821,830,-65.78,-76.15
822,439,-65.78,-83.19
823,427,-65.78,-83.34
824,974,-65.75,-73.64
825,989,-65.77,-73.5
826,927,-65.74,-74.46
827,1099,-65.72,-71.69
828,662,-65.74,-79.01
829,331,-65.7,-85.46
830,298,-65.7,-86.3
831,347,-65.7,-84.99
832,640,-65.7,-79.36
833,554,-65.68,-81.06
834,953,-65.66,-73.98
835,958,-65.68,-73.86
836,1405,-65.63,-67.2
837,1137,-65.63,-71.18
838,507,-65.63,-82.02
839,1216,-65.62,-69.91
840,653,-65.57,-79.17
841,963,-65.58,-73.83
842,823,-65.53,-76.3
843,1210,-65.51,-69.92
844,666,-65.52,-78.92
845,1077,-65.52,-72.13
846,908,-65.5,-74.82
847,950,-65.5,-74.01
848,939,-65.42,-74.19
849,780,-65.42,-76.83
850,1229,-65.44,-69.64
851,657,-65.4,-79.11
852,1078,-65.41,-72.09
853,1098,-65.4,-71.7
854,1251,-65.37,-69.18
855,646,-65.38,-79.25
856,418,-65.36,-83.48
857,1239,-65.33,-69.42
858,474,-65.35,-82.6
859,1205,-65.35,-70.04
860,946,-65.34,-74.1
861,1000,-65.34,-73.27
862,1469,-65.31,-65.98
863,1497,-65.31,-65.6
864,559,-65.31,-80.94
865,709,-65.28,-77.94
866,213,-65.28,-89.01
867,1045,-65.26,-72.63
868,1055,-65.24,-72.54
869,1018,-65.25,-73.03
870,985,-65.24,-73.52
871,678,-65.21,-78.66
872,482,-65.15,-82.37
873,719,-65.17,-77.77
874,1337,-65.16,-68.03
875,1338,-65.13,-68.02
876,1227,-65.1,-69.7
877,641,-65.11,-79.35
878,745,-65.07,-77.42
879,1514,-65.08,-65.35
880,515,-65.08,-81.93
881,956,-65.04,-73.88
882,1359,-65.05,-67.78
883,1053,-65.01,-72.57
884,744,-65.0,-77.43
885,595,-64.97,-80.27
886,977,-64.94,-73.63
887,1196,-64.95,-70.27
888,513,-64.94,-81.96
889,488,-64.92,-82.28
890,1370,-64.92,-67.65
891,654,-64.91,-79.17
892,1412,-64.92,-67.09
893,801,-64.92,-76.54
894,610,-64.91,-80.04
895,1517,-64.89,-65.15
896,1026,-64.87,-72.92
897,906,-64.86,-74.87
898,1607,-64.87,-63.71
899,477,-64.83,-82.5
900,1044,-64.83,-72.67
901,702,-64.8,-78.14
902,1557,-64.8,-64.52
903,454,-64.81,-82.99
904,604,-64.76,-80.19
905,960,-64.78,-73.86
906,1245,-64.72,-69.33
907,787,-64.72,-76.75
908,923,-64.72,-74.52
909,834,-64.67,-76.04
910,829,-64.66,-76.24
911,1174,-64.64,-70.57
912,809,-64.66,-76.46
913,1076,-64.61,-72.12
914,944,-64.63,-74.13
915,771,-64.62,-77.03
916,685,-64.59,-78.51
917,1046,-64.53,-72.64
918,853,-64.5,-75.76
919,548,-64.5,-81.09
920,1546,-64.49,-64.74
921,1553,-64.46,-64.63
922,854,-64.48,-75.72
923,895,-64.46,-75.12
924,752,-64.44,-77.27
925,788,-64.45,-76.72
926,921,-64.43,-74.56
927,541,-64.4,-81.3
928,1267,-64.41,-68.97
929,987,-64.41,-73.52
930,1017,-64.39,-73.03
931,1218,-64.36,-69.87
932,1508,-64.34,-65.44
933,367,-64.34,-84.38
934,552,-64.34,-81.1
935,1485,-64.33,-65.77
936,715,-64.3,-77.86
937,1064,-64.29,-72.41
938,768,-64.25,-77.06
939,821,-64.26,-76.31
940,925,-64.24,-74.45
941,855,-64.22,-75.7
942,935,-64.22,-74.37
943,863,-64.2,-75.5
944,1352,-64.19,-67.83
945,342,-64.16,-85.24
946,858,-64.17,-75.62
947,929,-64.17,-74.45
948,302,-64.14,-86.26
949,1471,-64.15,-65.95
950,1256,-64.1,-69.08
951,1103,-64.1,-71.66
952,1279,-64.12,-68.78
953,1039,-64.1,-72.68
954,1462,-64.1,-66.07
955,1024,-64.09,-72.97
956,1010,-64.09,-73.16
957,1243,-64.05,-69.36
958,625,-64.05,-79.75
959,628,-64.02,-79.72
960,932,-64.01,-74.43
961,766,-64.03,-77.1
962,401,-63.97,-83.88
963,645,-63.97,-79.29
964,912,-63.94,-74.72
965,1313,-63.9,-68.32
966,674,-63.89,-78.76
967,966,-63.86,-73.73
968,1362,-63.87,-67.75
969,979,-63.83,-73.57
970,1799,-63.84,-58.99
971,1054,-63.85,-72.54
972,866,-63.83,-75.47
973,1296,-63.83,-68.64
974,571,-63.8,-80.68
975,759,-63.8,-77.23
976,1322,-63.82,-68.19
977,448,-63.82,-83.02
978,542,-63.78,-81.28
979,1433,-63.79,-66.77
980,878,-63.76,-75.3
981,461,-63.76,-82.8
982,1262,-63.72,-69.07
983,849,-63.7,-75.8
984,350,-63.63,-84.82
985,1415,-63.63,-67.03
986,570,-63.64,-80.67
987,782,-63.59,-76.77
