Cluster # | Energy | #points | Radius ofN,e,v,rg,epv,buriedness,v*buriedness^2/rg
1,-64.054000,167.000000,3.778144,-0.383557,0.796296,28.027692
2,-46.591000,121.000000,4.032482,-0.385050,0.837681,21.055736
